user_id,first_story_timestamp,first_comment_timestamp,first_seen,story_count,comment_count,event_count
higfujk,,2019-03-21 12:24:43.000000 UTC,2019-03-21 12:24:43.000000 UTC,,2,2
igmarin,,2014-04-10 15:17:35.000000 UTC,2014-04-10 15:17:35.000000 UTC,,1,1
imensia,,2021-11-02 20:29:10.000000 UTC,2021-11-02 20:29:10.000000 UTC,,1,1
intelfx,,2015-09-15 00:49:21.000000 UTC,2015-09-15 00:49:21.000000 UTC,,7,7
jfcisco,,2021-08-30 09:10:18.000000 UTC,2021-08-30 09:10:18.000000 UTC,,2,2
jnellis,,2013-04-28 04:54:14.000000 UTC,2013-04-28 04:54:14.000000 UTC,,67,67
johsgrd,,2011-03-14 11:01:37.000000 UTC,2011-03-14 11:01:37.000000 UTC,,1,1
jtothez,2022-01-13 20:39:14.000000 UTC,2022-01-13 21:31:45.000000 UTC,2022-01-13 20:39:14.000000 UTC,1,1,2
khangnd,2020-11-02 04:46:06.000000 UTC,2020-11-02 04:46:06.000000 UTC,2020-11-02 04:46:06.000000 UTC,26,10,36
korfuri,2022-02-09 07:46:11.000000 UTC,2018-02-13 14:45:12.000000 UTC,2018-02-13 14:45:12.000000 UTC,1,9,10
